Identificador,Proceso,Nombre,Descripcion,Tipo de Activo,Categoria,Idioma,Origen,Soporte y medio de registro,Informacion disponible,Información publicada,Custodio,Estado,¿Contiene informacion personal?
OTGD-026,Oficina de las TIC y Gobierno Digital,Profesional Ingeniero de sistemas,Apoyo en cumplimiento de las politicas gubernamentaes TIC,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Jefe Oficina de las TIC y Gobierno Digital,Activo,No Aplica
OTGD-027,Oficina de las TIC y Gobierno Digital,Profesional Ingeniero de sistemas,Apoyo en cumplimiento de las politicas gubernamentaes TIC,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Jefe Oficina de las TIC y Gobierno Digital,Activo,No Aplica
OTGD-028,Oficina de las TIC y Gobierno Digital,Tecnologo en mantenimiento de equipos,Apoyo en cumplimiento de las politicas gubernamentaes TIC,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Jefe Oficina de las TIC y Gobierno Digital,Activo,No Aplica
OTGD-029,Oficina de las TIC y Gobierno Digital,Comunicador social,Apoyo comunicación interna y externa de la alcaldia,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Jefe Oficina de las TIC y Gobierno Digital,Activo,No Aplica
OTGD-030,Oficina de las TIC y Gobierno Digital,Fotógrafo,Apoyo comunicación interna y externa de la alcaldia,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Jefe Oficina de las TIC y Gobierno Digital,Activo,No Aplica
OTGD-031,Oficina de las TIC y Gobierno Digital,Fotógrafo,Apoyo comunicación interna y externa de la alcaldia,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Jefe Oficina de las TIC y Gobierno Digital,Activo,No Aplica
UAADJ-001,Unidad administrativa de asesoría y defensa jurídica,ALL IN ONE HP,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-002,Unidad administrativa de asesoría y defensa jurídica,TECLADO HP,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-003,Unidad administrativa de asesoría y defensa jurídica,MONITOR HP V202,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-004,Unidad administrativa de asesoría y defensa jurídica,CPU HP,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-005,Unidad administrativa de asesoría y defensa jurídica,TECLADO DELL,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-006,Unidad administrativa de asesoría y defensa jurídica,MONITOR HP V193B,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-007,Unidad administrativa de asesoría y defensa jurídica,CPU HP,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-008,Unidad administrativa de asesoría y defensa jurídica,TECLADO DELL,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-009,Unidad administrativa de asesoría y defensa jurídica,MONITOR HP LB2011,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-010,Unidad administrativa de asesoría y defensa jurídica,CPU DELL VOSTRO,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-011,Unidad administrativa de asesoría y defensa jurídica,TECLADO H6,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-012,Unidad administrativa de asesoría y defensa jurídica,MONITOR JANUS,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-014,Unidad administrativa de asesoría y defensa jurídica,IMPRESORA EPSON L5290,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-015,Unidad administrativa de asesoría y defensa jurídica,Resoluciones,Actos administrativos que se emanan de la administracion municipal,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,Publicada (Externo - Internet),Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-016,Unidad administrativa de asesoría y defensa jurídica,Decretos,Actos administrativos que se emanan de la administracion municipal,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,Publicada (Externo - Internet),Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-017,Unidad administrativa de asesoría y defensa jurídica,Respuestas derechos de petición,Respuestas a las peticiones emanadas por los habitantes del municipio,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-018,Unidad administrativa de asesoría y defensa jurídica,Respuestas tutelas,Respuestas a las peticiones emanadas por los habitantes del municipio,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-019,Unidad administrativa de asesoría y defensa jurídica,Respuestas demandas,Respuestas a las peticiones emanadas por los habitantes del municipio,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-020,Unidad administrativa de asesoría y defensa jurídica,Respuestas,Respuestas,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-021,Unidad administrativa de asesoría y defensa jurídica,Conceptos juridicos,Resolución de dudas a la realización de tramites de las oficinas de la alcaldía,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-022,Unidad administrativa de asesoría y defensa jurídica,Solicitudes de conceptos a entidades naciones departamentales,Solicitudes de conceptos a entidades naciones departamentales,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-023,Unidad administrativa de asesoría y defensa jurídica,Consultas de conceptos a entidades naciones departamentales,Consultas de conceptos a entidades naciones departamentales,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-024,Unidad administrativa de asesoría y defensa jurídica,Solicitudes internas,Resolución de dudas a la realización de tramites de las oficinas de la alcaldía,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-025,Unidad administrativa de asesoría y defensa jurídica,Oficios,Oficios,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-026,Unidad administrativa de asesoría y defensa jurídica,Radicados,Radicados,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-027,Unidad administrativa de asesoría y defensa jurídica,PQRS,PQRS,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,SI
UAADJ-028,Unidad administrativa de asesoría y defensa jurídica,Abogados,Apoyo juridico a la oficina,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-029,Unidad administrativa de asesoría y defensa jurídica,Abogados,Apoyo juridico a la oficina,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
UAADJ-030,Unidad administrativa de asesoría y defensa jurídica,Secretaría,Apoyo en todas las actividades de la oficina,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Jefe Unidad administrativa de asesoría y defensa jurídica,Activo,No Aplica
SMPS-001,Secretaría de la Mujer y Programas Sociales,MONITOR DELL,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-002,Secretaría de la Mujer y Programas Sociales,CPU JANUS,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-003,Secretaría de la Mujer y Programas Sociales,TECLADO HP,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-004,Secretaría de la Mujer y Programas Sociales,EPSON L380,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-005,Secretaría de la Mujer y Programas Sociales,IMPRESORA RICOH,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-006,Secretaría de la Mujer y Programas Sociales,CPU HP,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-007,Secretaría de la Mujer y Programas Sociales,MONITOR HP,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-008,Secretaría de la Mujer y Programas Sociales,TECLADO,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-009,Secretaría de la Mujer y Programas Sociales,CPU HP,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-010,Secretaría de la Mujer y Programas Sociales,MONITOR HP,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-011,Secretaría de la Mujer y Programas Sociales,TECLADO GENIUS,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-012,Secretaría de la Mujer y Programas Sociales,MONITOR DELL,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,Primario,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-013,Secretaría de la Mujer y Programas Sociales,CPU DELL,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-014,Secretaría de la Mujer y Programas Sociales,TECLADO DELL,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-015,Secretaría de la Mujer y Programas Sociales,IMPRESORA EPSON L3110,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-016,Secretaría de la Mujer y Programas Sociales,MONITOR HP,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-017,Secretaría de la Mujer y Programas Sociales,CPU HP,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-018,Secretaría de la Mujer y Programas Sociales,TECLADO HP,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-019,Secretaría de la Mujer y Programas Sociales,TECLADO DELL,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-020,Secretaría de la Mujer y Programas Sociales,MONITOR DELL,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-021,Secretaría de la Mujer y Programas Sociales,MONITOR HP,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-022,Secretaría de la Mujer y Programas Sociales,CPU HCOMPAQ,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-023,Secretaría de la Mujer y Programas Sociales,IMPRESORA EPSON L5290,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-024,Secretaría de la Mujer y Programas Sociales,IMPRESORA RICOH IM 430 F,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-025,Secretaría de la Mujer y Programas Sociales,ROUTER TPLINK,ROUTER TPLINK,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-026,Secretaría de la Mujer y Programas Sociales,Jefe de oficina,Coordinar y ejecutar las actividades de oficina de mujer,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-027,Secretaría de la Mujer y Programas Sociales,Correspondencia,Correspondencia,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de la Mujer y Programas Sociales,Activo,SI
SMPS-028,Secretaría de la Mujer y Programas Sociales,Oficios,Oficios,Datos /Información,Primario,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de la Mujer y Programas Sociales,Activo,SI
SMPS-029,Secretaría de la Mujer y Programas Sociales,Circulares,Circulares,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de la Mujer y Programas Sociales,Activo,SI
SMPS-030,Secretaría de la Mujer y Programas Sociales,Resoluciones,Resoluciones,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,Publicada (Externo - Internet),Secretaria de la Mujer y Programas Sociales,Activo,SI
SMPS-031,Secretaría de la Mujer y Programas Sociales,Actas,Actas,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Secretaria de la Mujer y Programas Sociales,Activo,SI
SMPS-032,Secretaría de la Mujer y Programas Sociales,Asistente tecnica administrativa,Apoyo en todas las actividades de la oficina,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-033,Secretaría de la Mujer y Programas Sociales,Administradora en salud,Apoyo en la gestion social del municipio,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-034,Secretaría de la Mujer y Programas Sociales,Ingeniera industrial,Apoyo en el fondo educativo,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-035,Secretaría de la Mujer y Programas Sociales,Administrador de empresas,Apoyo en la educacion del municipio,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-036,Secretaría de la Mujer y Programas Sociales,Administradora publica,Apoyo en la generación de proyectos,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-037,Secretaría de la Mujer y Programas Sociales,Asistente administrativo,Apoyo en la juventud,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-038,Secretaría de la Mujer y Programas Sociales,Administradora en salud,Apoyo en adulto mayor,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-039,Secretaría de la Mujer y Programas Sociales,Tecnica en administracion salud,Apoyo en victimas,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-040,Secretaría de la Mujer y Programas Sociales,Abogada,Apoyo en la asesoría juridica,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-041,Secretaría de la Mujer y Programas Sociales,Psicologa,Apoyo en discapacidad,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-042,Secretaría de la Mujer y Programas Sociales,Ingeniera de sistemas,Apoyo en aseguramiento,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-043,Secretaría de la Mujer y Programas Sociales,Administrador en salud,Auditora,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-044,Secretaría de la Mujer y Programas Sociales,Jefe de enfermeria,Apoyo en salud publica,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-045,Secretaría de la Mujer y Programas Sociales,Jefe de enfermeria,Apoyo en salud publica,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-046,Secretaría de la Mujer y Programas Sociales,Psicologa,Apotyo en plan territorial de salud y pic,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-047,Secretaría de la Mujer y Programas Sociales,Psicologa,Apotyo en salud mental,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-048,Secretaría de la Mujer y Programas Sociales,Administradora de empresas,Apotyo en renta ciudadana y renta joven,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
SMPS-049,Secretaría de la Mujer y Programas Sociales,Administrador publico,Apoyo en enlace de programas sociales,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de la Mujer y Programas Sociales,Activo,No Aplica
CFA-001,Comisaria de Familia,MONITOR JANUS,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-002,Comisaria de Familia,CPU JANUS,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-003,Comisaria de Familia,IMPRESORA L5290,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-004,Comisaria de Familia,ALL IN ONE HP,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-005,Comisaria de Familia,TECLADO HP,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-006,Comisaria de Familia,IMPRESORA EPSON L210,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-007,Comisaria de Familia,MONITOR JANUS,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-008,Comisaria de Familia,CPU JANUS,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-009,Comisaria de Familia,TECLADO JANUS,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-010,Comisaria de Familia,IMPRESORA EPSON L475,"usado para imprimir resoluciones, decretos, comunicados etc",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-011,Comisaria de Familia,PORTATIL ASUS,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-012,Comisaria de Familia,MONITOR HP,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-013,Comisaria de Familia,CPU HP,dispositivos de procesamiento el cual es usado para el desarrollo de las actividades de la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-014,Comisaria de Familia,TECLADO HP,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-015,Comisaria de Familia,SERVIDOR ALUMBRADO,"Un servidor es un conjunto de computadoras capaces de atender las peticiones de un cliente y devolverle una respuesta en concordancia. Los servidores se pueden ejecutar en cualquier tipo de computadora, incluso en computadoras dedicadas a las cuales se les conoce individualmente como «el servidor».",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-016,Comisaria de Familia,MONITOR SERVIDOR COMPAQ,complemento de la cpu el cual visualiza los procedimientos de la cpu,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-017,Comisaria de Familia,TECLADO SERVIDOR,complemento de la cpu usado para digitalizar las actividades en la alcaldia,Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-018,Comisaria de Familia,oficios,oficios,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Comisaria de Familia,Activo,SI
CFA-019,Comisaria de Familia,autos,semifallos,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Comisaria de Familia,Activo,SI
CFA-020,Comisaria de Familia,actas,relatoria de las audiencias,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Comisaria de Familia,Activo,SI
CFA-021,Comisaria de Familia,respuestas,pqrs,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Comisaria de Familia,Activo,SI
CFA-022,Comisaria de Familia,correspondencia,correspondencia,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Comisaria de Familia,Activo,SI
CFA-023,Comisaria de Familia,informes,psicospcial,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,No publicada,Comisaria de Familia,Activo,SI
CFA-024,Comisaria de Familia,resoluciones,resoluciones,Datos /Información,De soporte,Español,Interno,Medio electrónico,Disponible,Publicada (Externo - Internet),Comisaria de Familia,Activo,SI
CFA-025,Comisaria de Familia,psicologas 2,"valoraciones en procesps de medidas de proteccion, informe psicosocial, remisiones, asesorias",Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-026,Comisaria de Familia,trabajo social2,"visita domiciliaria y estuduo socio familiar, informes psicosociales",Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-027,Comisaria de Familia,2 abogados,"asesoria legal de la oficina, proyeccion de fallos",Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-028,Comisaria de Familia,citador,encsrgadfo de notificaciones personales,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Comisaria de Familia,Activo,No Aplica
CFA-029,Comisaria de Familia,secretaria ejecutiva,"atwencion l publico, recepcion de correspondencia",Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Comisaria de Familia,Activo,No Aplica
